"Name","Longitude","Latitude"
"Darwin General Cemetery","130.875328692131","-12.3934770881124"
"Borella Park","130.875148327465","-12.3906468198313"
"McMillans Road Greenbelt","130.893959399539","-12.3937693867053"
"Tomaris Park","130.89399452728","-12.4006165388619"
"Rapid Creek Reserve - South","130.8749956319","-12.3984613080442"
"Bagot Oval","130.857475638193","-12.3965470998861"
"Mosec Park","130.85565881581","-12.4204915237964"
"Gilbert Park","130.850038476031","-12.4268498865439"
"Narrows Vacant Block","130.857140269811","-12.4248433100892"
"Dwyer Park","130.860870320026","-12.4268155304286"
"City of Darwin Operations Centre","130.860118764779","-12.4297647413546"
"Lores Bonney Park","130.852891134492","-12.4300910865761"
"Ginty Mcginness Park","130.850925548954","-12.431442916821"
"Seascapes Park","130.857874464693","-12.4358661732227"
"Latrobe Street Park","130.859360937004","-12.4349422881326"
"Brian Chong Wee Park","130.850917800645","-12.436460412656"
"Stoddart Park","130.854326358241","-12.439257001228"
"Half Moon Park","130.856503596177","-12.4407269325664"
"Pioneer Park","130.84103737267","-12.4374411134053"
"Palmerston Cemetery","130.840426950278","-12.4370121392003"
"Parap Childcare Centre","130.84005425395","-12.4354588098152"
"Weddell Park","130.840702939457","-12.4346888051954"
"Antony Memorial Park","130.842753109908","-12.4389280305106"
"Stokes Street Park","130.842835352829","-12.4361997780042"
"Somerville Park","130.845113104607","-12.4347912840384"
"Anne Park","130.843317935687","-12.4444388124614"
"Stuart Park Childcare Centre","130.846064563379","-12.4442227417455"
"Beatrice Park","130.847183159475","-12.4457819525699"
"Bill Sullivan Park","130.842033176912","-12.4455612572186"
"Dinah Beach Oval","130.847504556749","-12.4489834070626"
"Meigs Park","130.847283297294","-12.4461890134221"
"Darwin Chinese Memorial Cemetery","130.848824141094","-12.4454546670028"
"Duke Street Park","130.842851989737","-12.4516243079428"
"Que Noy Park","130.843919468306","-12.4490569380748"
"Duke Street Reserve","130.844979603214","-12.4510750145436"
"Duke Street Rainforest","130.841994972034","-12.4519016062201"
"Wood Street Park","130.838281814781","-12.4563960459972"
"Cavenagh Street Car Park","130.841725341536","-12.4600762968787"
"Frog Hollow Park","130.841749369819","-12.4582230528885"
"Brazil Park","130.921376421407","-12.4035576508109"
"Creber Park","130.914815083203","-12.4043497339605"
"Peron Park","130.922658490404","-12.4066470130845"
"Kurrajong Park","130.844314038068","-12.3826887472396"
"Grevillea Park","130.846034511024","-12.3825903565396"
"Alf Blaser Park","130.846184515457","-12.3854516420059"
"East Point Road Park","130.833524575703","-12.4207693651654"
"George Park","130.834401286157","-12.4202933655697"
"Bayview Park","130.83358762875","-12.4187164949903"
"Ken Waters Memorial Park","130.836280903492","-12.4230741774137"
"Hinkler Park","130.83697780578","-12.4221558744059"
"Vestey's Lagoon","130.836142714342","-12.4328653445048"
"Fannie Bay Foreshore","130.833813144838","-12.4223095217607"
"Gardens Oval Two","130.833300522595","-12.4481095849661"
"Gardens Cemetery","130.834355138243","-12.4481363068697"
"Amphitheatre","130.83657458964","-12.4470347327895"
"Gardens Oval One","130.833912409943","-12.4462739554326"
"Gardens Park","130.836245256555","-12.4510418559996"
"Warrego Park","130.831891026024","-12.4532705130892"
"Malabar Park","130.830636626187","-12.4558045761888"
"Kahlin Oval","130.82674602466","-12.4549861428062"
"Dashwood Park","130.836594601232","-12.4557465546849"
"Harriet Park","130.836231002987","-12.4571423179426"
"Doctors Gully","130.832947327543","-12.4584739367009"
"Mitchell Street Childcare Centre","130.833694229428","-12.457495792661"
"Doctors Gully Car Park","130.832681412719","-12.4595908235483"
"Mitchell St Car Park","130.835789167514","-12.4586015583814"
"Mc Lachlan St Car Park","130.83796874706","-12.4586004987033"
"Woods and McMinn Street Park","130.845443889878","-12.4623293427253"
"McMinn Street Carpark","130.844390636384","-12.4593891225964"
"Smith Street Mall","130.842528202085","-12.4638783783041"
"Tamarind Park","130.841018067674","-12.4638732356262"
"Raintree Park","130.842063135466","-12.4629100590313"
"Bicentennial Park","130.836947819959","-12.4631196248228"
"Poinciana Park","130.840206057401","-12.4620316744547"
"Mitchell Street Carpark","130.836156260471","-12.459283877376"
"Bennett Park","130.843118683879","-12.4654028325297"
"Civic Park","130.844846957031","-12.4650481060487"
"Dudley Park","130.854564247316","-12.3799362048718"
"Clarke Crescent Park","130.858822367276","-12.3786415446697"
"Becker Park","130.862972697996","-12.3825997626075"
"Chrisp Street Oval","130.8576665769","-12.384521782161"
"Stokes Park","130.864100520038","-12.3901339663437"
"Kelsey Park","130.857673499976","-12.3899837656208"
"Wong Yung Park","130.860141806518","-12.3940987677825"
"Philpott St Park","130.894716970113","-12.3563992611575"
"Colin St Parkland","130.892052208028","-12.3538458553786"
"Changsha St Park","130.897682783106","-12.3546881148415"
"Ted Rowe Park","130.895075914647","-12.3589692354621"
"Juliet Shields Park","130.893033566821","-12.3601760711729"
"Lefevre St Park","130.899477463492","-12.3617246333141"
"Bailey St Park","130.893045046618","-12.3622555079086"
"William Forster Park","130.89526744384","-12.3621549290679"
"Armstrong Park","130.894098158665","-12.3664132277554"
"Armstrong Park","130.895215690514","-12.3665736523834"
"Cadell Park","130.897885489121","-12.3675546617064"
"Peace Park","130.89488746112","-12.3735408381209"
"Jabiru Park","130.892897637196","-12.380568150138"
"Plover Park","130.893042180435","-12.3798616088907"
"Curlew Park","130.893490118157","-12.3791708731013"
"Travellers Walk","130.846537372939","-12.4652049083015"
"Nightcliff Public Library","130.850396752782","-12.3869892893141"
"Pavonia Way","130.850822001256","-12.3870379620787"
"Rapid Creek Reserve","130.868310063805","-12.391127925502"
"Jingili Water Gardens","130.867662630899","-12.3872635660406"
"Rapid Creek Reserve - North","130.863428221261","-12.3809052536395"
"Karama Public Library","130.915323031146","-12.4011963008112"
"Darwin City Public Library","130.845611048248","-12.4648484826762"
"Lake Alexander","130.831677904244","-12.4142971782918"
"Malak Childcare Centre","130.903789805431","-12.3941034076535"
"Malak Community Centre","130.90370004218","-12.3935244652367"
"Lyons Community Centre","130.888257818773","-12.3593392330592"
"Parap Market Area","130.844325460335","-12.4315241682252"
"Rapid Creek Market Area","130.862563709343","-12.3863690481598"
"Nightcliff Market Area","130.850774852361","-12.3873035899265"
"Mindil Market Area","130.832024511185","-12.4443023392811"
"Boulter Road Animal Pound","130.919195800954","-12.4154674509332"
"Kahlin Foreshore","130.826006751173","-12.4543390416406"
"Shoal Bay Waste & Recycling Facility","130.92467318666","-12.3885975637699"
"Anula Oval","130.892022432497","-12.3904970794542"
"Parap Tennis Courts","130.841957570969","-12.428488537593"
"Bayview Sea Wall","130.855038399171","-12.4409081374524"
"Bayview Sea Wall","130.852746023395","-12.438535661495"
"Velodrome","130.85909302451","-12.396218003463"
"Chrisp Street Tennis Courts","130.857449596666","-12.383559433186"
"Jingili Water Gardens Skate Park","130.86650757049","-12.3855088615884"
"Malak Greenbelt","130.901137200586","-12.391678354837"
"East Point Reserve","130.825081334505","-12.4093960068618"
"Garanmanuk Park","130.887258763271","-12.358819007208"
"Civic Centre","130.845702515693","-12.4645163008095"
"Mindil Beach","130.832613916534","-12.445714362871"
"East Point Reserve and Fannie Bay Oval Surrounds","130.839193916481","-12.4162075927589"
