X,Y,OBJECTID,ZoneDesc,CENTROID_X,CENTROID_Y,ZoneName,MeterName
130.840019382163831,-12.46469958514324,51,Zone A ($2.50/hr up to 2 hrs),699984.573145,8621366.65944,ZONE A,KNU079
130.840345713642506,-12.464372367712834,52,Zone A ($2.50/hr up to 2 hrs),700020.30303,8621402.61471,ZONE A,KNU080
130.840583346272638,-12.464135334709818,53,Zone A ($2.50/hr up to 2 hrs),700046.32038,8621428.65936,ZONE A,KNU081
130.838087135359672,-12.462926783884773,54,Zone A ($2.50/hr up to 2 hrs),699775.85734,8621564.24689,ZONE A,PEE099
130.838141627606461,-12.463020938429132,55,Zone A ($2.50/hr up to 2 hrs),699781.709641,8621553.78919,ZONE A,PEE094
130.8387306657132,-12.462435433502849,56,Zone A ($2.50/hr up to 2 hrs),699846.19911,8621618.12225,ZONE A,PEE096
130.838647034519312,-12.46237218237151,57,Zone A ($2.50/hr up to 2 hrs),699837.15514,8621625.18294,ZONE A,PEE101
130.838363889340144,-12.462651621883083,58,Zone A ($2.50/hr up to 2 hrs),699806.157093,8621594.48073,ZONE A,PEE100
130.837644227731971,-12.462792714921354,59,Zone B ($1.80/hr up to 3 hrs),699727.80675,8621579.41291,ZONE A,ESP133
130.839118306671224,-12.461853853423511,60,Zone A ($2.50/hr up to 2 hrs),699888.78969,8621682.17261,ZONE A,PEE097
130.839114330078985,-12.462344543478965,61,Zone A ($2.50/hr up to 2 hrs),699887.981211,8621627.88873,ZONE A,MIT014
130.839855350369533,-12.463067956370196,62,Zone A ($2.50/hr up to 2 hrs),699967.99096,8621547.29637,ZONE A,MIT013
130.840983310200613,-12.464139096403517,63,Zone A ($2.50/hr up to 2 hrs),700089.801803,8621427.94157,ZONE A,MIT012
130.841240617939775,-12.46439395964874,64,Zone A ($2.50/hr up to 2 hrs),700117.580802,8621399.55103,ZONE A,MIT011
130.841513920896517,-12.464681060715703,65,Zone A ($2.50/hr up to 2 hrs),700147.07398,8621367.5817,ZONE A,MIT010
130.841841436037413,-12.464776593567482,66,Zone A ($2.50/hr up to 2 hrs),700182.608187,8621356.76536,ZONE A,MIT009
130.841557122290595,-12.464900877580199,67,Zone A ($2.50/hr up to 2 hrs),700151.60207,8621343.22987,ZONE A,MIT002
130.841795579846945,-12.46485043440061,68,Zone A ($2.50/hr up to 2 hrs),700177.566,8621348.63073,ZONE A,MIT008
130.841752724024644,-12.465078472343521,69,Zone A ($2.50/hr up to 2 hrs),700172.731637,8621323.43433,ZONE A,MIT001
130.841046621130289,-12.464399799923871,70,Zone A ($2.50/hr up to 2 hrs),700096.48492,8621399.05121,ZONE A,MIT003
130.840866219250955,-12.463682523024939,71,Zone A ($2.50/hr up to 2 hrs),700077.42204,8621478.54235,ZONE A,KNU088
130.843389511528954,-12.461340938286567,72,Zone A ($2.50/hr up to 2 hrs),700353.55559,8621735.69706,ZONE A,KNU082
130.842848905323933,-12.461697667955912,73,Zone A ($2.50/hr up to 2 hrs),700294.50587,8621696.63878,ZONE A,KNU090
130.842995504490915,-12.461743105482347,74,Zone A ($2.50/hr up to 2 hrs),700310.409494,8621691.50119,ZONE A,KNU083
130.842366335175342,-12.462372560347436,75,Zone A ($2.50/hr up to 2 hrs),700241.52175,8621622.33696,ZONE A,KNU084
130.842273474035579,-12.462270873484936,76,Zone A ($2.50/hr up to 2 hrs),700231.50392,8621633.65713,ZONE A,KNU084
130.840516204246342,-12.462904447893116,77,Zone A ($2.50/hr up to 2 hrs),700039.965145,8621564.88779,ZONE A,SHA017
130.840348608117466,-12.462706153757031,78,Zone A ($2.50/hr up to 2 hrs),700021.89599,8621586.95216,ZONE A,SHA018
130.840288471713478,-12.462500844396768,79,Zone A ($2.50/hr up to 2 hrs),700015.51542,8621609.71173,ZONE A,SHA019
130.842656107226617,-12.465772508020912,80,Zone A ($2.50/hr up to 2 hrs),700270.41438,8621245.96854,ZONE A,MIT006
130.842837226717535,-12.465433606356848,81,Zone A ($2.50/hr up to 2 hrs),700290.366103,8621283.32578,ZONE A,BEN074
130.843188595138002,-12.465080328733261,82,Zone A ($2.50/hr up to 2 hrs),700328.838358,8621322.14504,ZONE A,BEN073
130.844022182601151,-12.46407663298193,83,Zone A ($2.50/hr up to 2 hrs),700420.23793,8621432.55833,ZONE A,BEN075
130.844221483629013,-12.464050429724049,84,Zone A ($2.50/hr up to 2 hrs),700441.926224,8621435.30672,ZONE A,BEN072
130.842054005498426,-12.460628579215452,85,Zone A ($2.50/hr up to 2 hrs),700208.90386,8621815.5162,ZONE A,LIT062
130.843348440180534,-12.461704127766476,86,Zone A ($2.50/hr up to 2 hrs),700348.81118,8621695.54697,ZONE A,LIT064
130.843570933669923,-12.461925964526598,87,Zone A ($2.50/hr up to 2 hrs),700372.83063,8621670.83627,ZONE A,LIT065
130.843842366478583,-12.462189197323681,88,Zone A ($2.50/hr up to 2 hrs),700402.13891,8621641.50875,ZONE A,LIT066
130.844281800537658,-12.462625788509545,89,Zone A ($2.50/hr up to 2 hrs),700449.57916,8621592.87496,ZONE A,LIT067
130.844583667088102,-12.46292392285843,90,Zone A ($2.50/hr up to 2 hrs),700482.169266,8621559.6631,ZONE A,LIT068
130.844372060088261,-12.463227267778576,91,Zone A ($2.50/hr up to 2 hrs),700458.929922,8621526.26274,ZONE A,LIT069
130.844655637657979,-12.467189934405264,92,Zone B ($1.80/hr up to 3 hrs),700486.71314,8621087.64235,ZONE B,ESP070
130.842004261244085,-12.46515278929439,93,Zone A ($2.50/hr up to 2 hrs),700200.021653,8621315.02251,ZONE A,MIT007
130.83841286588131,-12.462747766301348,94,Zone A ($2.50/hr up to 2 hrs),699811.40823,8621583.80701,ZONE A,PEE095
130.840069056269243,-12.461386862342041,95,Zone A ($2.50/hr up to 2 hrs),699992.51475,8621733.12117,ZONE A,SMI034
130.842700446919252,-12.461181239445656,96,Zone A ($2.50/hr up to 2 hrs),700278.76193,8621753.88542,ZONE A,LIT063
130.83821613574338,-12.46051556314004,97,Zone A ($2.50/hr up to 2 hrs),699791.72977,8621830.91211,ZONE A,BRI106
130.837920841867913,-12.460826518148346,98,Zone A ($2.50/hr up to 2 hrs),699759.386685,8621796.73231,ZONE A,BRI105
130.837838374405095,-12.46111959411434,99,Zone A ($2.50/hr up to 2 hrs),699750.19623,8621764.37032,ZONE A,MIT016
130.838475326898305,-12.461380618860115,100,Zone A ($2.50/hr up to 2 hrs),699819.246748,8621735.01262,ZONE A,MOT104
130.838347562361463,-12.461781462319307,101,Zone A ($2.50/hr up to 2 hrs),699805.048771,8621690.76202,ZONE A,MIT005
130.838620037679448,-12.461825164251414,102,Zone A ($2.50/hr up to 2 hrs),699834.63923,8621685.72188,ZONE A,MIT004
130.840698183761617,-12.461598376694351,103,Zone A ($2.50/hr up to 2 hrs),700060.752156,8621709.24629,ZONE A,SEA102
130.843772334149662,-12.464993778548349,104,Zone A ($2.50/hr up to 2 hrs),700392.3692,8621331.27953,ZONE A,SMI021
130.839370879778841,-12.459901008889037,105,Zone B ($1.80/hr up to 3 hrs),699917.746856,8621898.03291,ZONE B,LIN200
130.839136895804984,-12.460004008672907,106,Zone B ($1.80/hr up to 3 hrs),699892.228722,8621886.8139,ZONE B,LIN200
130.839302999433869,-12.459836431274697,107,Zone B ($1.80/hr up to 3 hrs),699910.416313,8621905.2285,ZONE B,LIN200
130.839659854708515,-12.459604659942984,108,Zone B ($1.80/hr up to 3 hrs),699949.392081,8621930.60139,ZONE B,LIN199
130.839595038252668,-12.459540487263808,109,Zone B ($1.80/hr up to 3 hrs),699942.39433,8621937.7499,ZONE B,LIN199
130.838716626281666,-12.460078517803636,110,Zone B ($1.80/hr up to 3 hrs),699846.47902,8621878.88719,ZONE B,SMI161
130.838502892752786,-12.459873146850956,111,Zone B ($1.80/hr up to 3 hrs),699823.398755,8621901.76907,ZONE B,SMI160
130.838020374784634,-12.459398339183156,112,Zone B ($1.80/hr up to 3 hrs),699771.30212,8621954.66211,ZONE B,SMI159
130.838230832420152,-12.458784206926415,113,Zone B ($1.80/hr up to 3 hrs),699794.65403,8622022.44744,ZONE B,MCL213
130.838476469422631,-12.458527325697496,114,Zone B ($1.80/hr up to 3 hrs),699821.55714,8622050.68224,ZONE B,MCL212
130.837924353876929,-12.45891810732404,115,Zone B ($1.80/hr up to 3 hrs),699761.230341,8622007.86416,ZONE B,MCL210
130.837931612872126,-12.45864681325464,116,Off Street Carpark,699762.22729,8622037.87297,ZONE B,MCL A
130.837586082530635,-12.458976849694853,117,Zone C ($1.30/hr or $7.50/day),699724.407611,8622001.61986,ZONE C,SMI158
130.837301173370719,-12.458702002838267,118,Zone C ($1.30/hr or $7.50/day),699693.641959,8622032.24161,ZONE C,SMI158
130.836947691103973,-12.458356325276787,119,Zone C ($1.30/hr or $7.50/day),699655.475146,8622070.75111,ZONE C,SMI156
130.836687490390489,-12.458104899156508,120,Zone C ($1.30/hr or $7.50/day),699627.37783,8622098.76296,ZONE C,SMI155
130.83839775550004,-12.459937819376384,121,Zone B ($1.80/hr up to 3 hrs),699811.91853,8621894.69325,ZONE B,SMI149
130.838098268109661,-12.459656226828985,122,Zone B ($1.80/hr up to 3 hrs),699779.57325,8621926.07239,ZONE B,SMI150
130.837642740956994,-12.459221099574609,123,Zone C ($1.30/hr or $7.50/day),699730.38057,8621974.555,ZONE C,SMI151
130.837031965493509,-12.458623131151372,124,Zone C ($1.30/hr or $7.50/day),699664.43343,8622041.17002,ZONE C,SMI153
130.840580656302933,-12.459893082282685,125,Zone B ($1.80/hr up to 3 hrs),700049.28257,8621897.99819,ZONE B,CAV175
130.840209235073758,-12.459532985859546,126,Zone B ($1.80/hr up to 3 hrs),700009.17701,8621938.11704,ZONE B,CAV174
130.840269681595174,-12.458875652928807,127,Zone B ($1.80/hr up to 3 hrs),700016.252956,8622010.79468,ZONE B,LIN203
130.840251543020315,-12.459030469688535,128,Zone B ($1.80/hr up to 3 hrs),700014.162155,8621993.68036,ZONE B,LIN201
130.840547138201345,-12.458729146069267,129,Zone B ($1.80/hr up to 3 hrs),700046.53119,8622026.79416,ZONE B,LIN202
130.839700683200874,-12.4590273177058,130,Zone B ($1.80/hr up to 3 hrs),699954.273651,8621994.44419,ZONE B,CAV173
