X,Y,OBJECTID,Asset_ID,Asset_Grou,Community,Address,Location,Short_ID,Asset_Clas,Asset_Cl00
130.859267031113035,-12.434950126317561,37,PlayEquip 39,Playground Equipment,Bayview,"9 Perth St, Bayview",Latrobe Street Park,Latrobe Street Park,57,Playgrounds
130.878878014444524,-12.372569025964159,38,PlayEquip 40,Playground Equipment,Nakara,"26 Witherden St, Nakara",Johnson Park,Johnson Park,57,Playgrounds
130.918745019997033,-12.405605714780842,39,PlayEquip 41,Playground Equipment,Karama,"20 Eaton Pl, Karama",Eaton Park,Eaton Park,57,Playgrounds
130.916762948068197,-12.403767485155823,40,PlayEquip 43,Playground Equipment,Karama,"18 Manunda Tce, Karama",Manunda Park,Manunda Park,57,Playgrounds
130.917177967558217,-12.397147007572222,41,PlayEquip 44,Playground Equipment,Karama,"8 Croton Ct, Karama",Whittle Park,Whittle Park,57,Playgrounds
130.917589537879991,-12.394431384226218,42,PlayEquip 45,Playground Equipment,Karama,"63 Mistletoe Crct, Karama",Dickinson Park,Dickinson Park,57,Playgrounds
130.917750911174039,-12.394849636018018,43,PlayEquip 46,Playground Equipment,Karama,"63 Mistletoe Crct, Karama",Dickinson Park,Dickinson Park,57,Playgrounds
130.91082599153421,-12.396067005896438,44,PlayEquip 47,Playground Equipment,Karama,"46 Mueller Rd, Karama",Mahogany Park,Mahogany Park,57,Playgrounds
130.90604768578342,-12.390807255592929,45,PlayEquip 48,Playground Equipment,Malak,"9 Kraegen Ct, Malak",Bayfield Park,Bayfield Park,57,Playgrounds
130.905968508140944,-12.390804287237652,46,PlayEquip 49,Playground Equipment,Malak,"9 Kraegen Ct, Malak",Bayfield Park,Bayfield Park,57,Playgrounds
130.853176753520643,-12.374317115072138,47,PlayEquip 50,Exercise Equipment,Rapid Creek,"315 Casuarina Dr, Nightcliff",Nightcliff Foreshore,Nightcliff Foreshore 2,57,Playgrounds
130.850329525977003,-12.376464898816074,48,PlayEquip 51,Exercise Equipment,Rapid Creek,"315 Casuarina Dr, Nightcliff",Nightcliff Foreshore,Nightcliff Foreshore 2,57,Playgrounds
130.854321997465718,-12.398006037645752,49,PlayEquip 55,Playground Equipment,Coconut Grove,"25 Nation Cres, Coconut Grove",Nation Crescent Park,Nation Crescent Park,57,Playgrounds
130.921007972116286,-12.406854012355353,50,PlayEquip 56,Playground Equipment,Karama,"11 Freycinet St, Karama",Freycinet Park,Freycinet Park,57,Playgrounds
130.852957021356076,-12.430083992139192,51,PlayEquip 58,Playground Equipment,Parap,"43 May St, Parap",Lores Bonney Park,Lores Bonney Park,57,Playgrounds
130.852763994554664,-12.430111972164765,52,PlayEquip 59,Exercise Equipment,Parap,"43 May St, Parap",Lores Bonney Park,Lores Bonney Park,57,Playgrounds
130.853023980718064,-12.430040969309928,53,PlayEquip 60,Playground Equipment,Parap,"43 May St, Parap",Lores Bonney Park,Lores Bonney Park,57,Playgrounds
130.852806968660104,-12.430130023192044,54,PlayEquip 61,Exercise Equipment,Parap,"43 May St, Parap",Lores Bonney Park,Lores Bonney Park,57,Playgrounds
130.849951078643642,-12.426820245193138,55,PlayEquip 62,Playground Equipment,Ludmilla,"10 Gilbert St, Ludmilla",Gilbert Park,Gilbert Park,57,Playgrounds
130.855482018010463,-12.420454018849817,56,PlayEquip 63,Playground Equipment,Ludmilla,"16 Mosec St, Ludmilla",Mosec Park,Mosec Park,57,Playgrounds
130.853831659828842,-12.411344141452977,57,PlayEquip 64,Playground Equipment,Ludmilla,"7 Tudawali St, Ludmilla",Tudawali Park,Tudawali Park,57,Playgrounds
130.854050000568378,-12.395827007029876,58,PlayEquip 65,Playground Equipment,Coconut Grove,"90 Old Mcmillans, Coconut Grove",Old McMillans Park,Old Mcmillans Park,57,Playgrounds
130.850212011394092,-12.394634015832249,59,PlayEquip 67,Playground Equipment,Coconut Grove,"15 Ostermann St, Coconut Grove",Osterman Park,Osterman Park,57,Playgrounds
130.850162991626831,-12.394316971664075,60,PlayEquip 68,Playground Equipment,Coconut Grove,"15 Ostermann St, Coconut Grove",Osterman Park,Osterman Park,57,Playgrounds
130.851250989118938,-12.391760042564158,61,PlayEquip 69,Playground Equipment,Coconut Grove,"5 Sunset Dr, Coconut Grove",Sunset Cove Park,Sunset Cove Park,57,Playgrounds
130.84749556635694,-12.3785870852951,62,PlayEquip 70,Playground Equipment,Nightcliff,"1 & 7 Jacaranda Ave, Nightcliff",Bill Bell Park,Bill Bell Park,57,Playgrounds
130.847003025589032,-12.378358000811472,63,PlayEquip 71,Exercise Equipment,Nightcliff,"315 Casuarina Dr, Nightcliff",Nightcliff Foreshore,Nightcliff Foreshore 2,57,Playgrounds
130.84539274185147,-12.379464766606022,64,PlayEquip 72,Exercise Equipment,Nightcliff,"235 Casuarina Dr, Nightcliff",Nightcliff Foreshore,Nightcliff Foreshore 1,57,Playgrounds
130.867739986923596,-12.387199969003182,65,PlayEquip 73,Playground Equipment,Jingili,"91 Freshwater Rd, Jingili",Water Gardens,Rapid Creek Water Gardens,57,Playgrounds
130.878259005453174,-12.387191955189154,66,PlayEquip 74,Playground Equipment,Moil,"28 Thornton Cres, Moil",Thornton Park,Thornton Park,57,Playgrounds
130.878439985433033,-12.387201999263528,67,PlayEquip 75,Playground Equipment,Moil,"28 Thornton Cres, Moil",Thornton Park,Thornton Park,57,Playgrounds
130.836612986622384,-12.455814029444824,68,PlayEquip 76,Playground Equipment,Darwin City,"6 Dashwood Place, Darwin City",Dashwood Park,Dashwood Park,57,Playgrounds
130.836534970656459,-12.455849984742306,69,PlayEquip 77,Playground Equipment,Darwin City,"6 Dashwood Place, Darwin City",Dashwood Park,Dashwood Park,57,Playgrounds
130.877114973137935,-12.363606958690452,70,PlayEquip 78,Playground Equipment,Tiwi,"41  Tiwi Gardens, Tiwi",Tiwi Park,Tiwi Park,57,Playgrounds
130.884259002299729,-12.377887017139933,71,PlayEquip 79,Playground Equipment,Wagaman,"32 Amsterdam Cct, Wagaman",Amsterdam Park,Amsterdam Park,57,Playgrounds
130.84290361616749,-12.438864541663239,72,PlayEquip 80,Playground Equipment,Stuart Park,"22 Armidale St, Stuart Park",Antony Memorial Park,Antony Memorial Park,57,Playgrounds
130.876222023625502,-12.371072966571711,73,PlayEquip 81,Playground Equipment,Nakara,"49 Nakara Tce, Nakara",Nakara Park,Nakara Park,57,Playgrounds
130.872002254724634,-12.385625771172458,74,PlayEquip 82,Playground Equipment,Jingili,"15 Cameron Cres, Jingili",Cameron Park,Cameron Park,57,Playgrounds
130.89985100180084,-12.377888004368168,75,PlayEquip 83,Playground Equipment,Leanyer,"46 Baroalba St, Leanyer",Savannah Park,Savannah Park,57,Playgrounds
130.87213225234936,-12.385493479377976,76,PlayEquip 84,Playground Equipment,Jingili,"15 Cameron Cres, Jingili",Cameron Park,Cameron Park,57,Playgrounds
130.886953814658852,-12.383556635927276,77,PlayEquip 85,Playground Equipment,Wagaman,"35 Tasman Cct, Wagaman",Tasman Park,Tasman Park,57,Playgrounds
130.871210035533579,-12.379054995124088,78,PlayEquip 86,Playground Equipment,Alawa,"25 Young Cres, Alawa",Young Park,Young Park,57,Playgrounds
130.878364971519773,-12.387229990241412,79,PlayEquip 87,Playground Equipment,Moil,"28 Thornton Cres, Moil",Thornton Park,Thornton Park,57,Playgrounds
130.867752017002601,-12.387239015895137,80,PlayEquip 88,Playground Equipment,Jingili,"91 Freshwater Rd, Jingili",Water Gardens,Rapid Creek Water Gardens,57,Playgrounds
130.842402020913028,-12.463870034968876,81,PlayEquip 89,Playground Equipment,Darwin City,26 - 52 Smith Street Darwin City,The Mall,The Mall,57,Playgrounds
130.87027296398324,-12.38258502022726,82,PlayEquip 90,Playground Equipment,Alawa,"2 Bald Crct, Alawa",Bald Park,Bald Park,57,Playgrounds
130.874220983967831,-12.381218008894233,83,PlayEquip 91,Playground Equipment,Alawa,"25 Stobo Cres, Alawa",Stobo Park,Stobo Park,57,Playgrounds
130.870337024756964,-12.377570007259946,84,PlayEquip 92,Playground Equipment,Alawa,"49 Lakeside Drv, Alawa",Alawa Oval Precinct,Alawa Oval Precinct CDU,57,Playgrounds
130.873683005943008,-12.377078038609444,85,PlayEquip 93,Playground Equipment,Alawa,"67 Wellington Pde, Alawa",Mullen Park,Mullen Park,57,Playgrounds
130.879177973947378,-12.377819986829916,86,PlayEquip 94,Playground Equipment,Alawa,"20 Britomart Gdns, Alawa",Britomart Park,Britomart Park,57,Playgrounds
130.850802995710438,-12.387004041439797,87,PlayEquip 95,Playground Equipment,Nightcliff,"Pavonia Place, Nightcliff",Pavonia Way Shopping,Pavonia Way,57,Playgrounds
130.878892019361984,-12.380070965221787,88,PlayEquip 96,Playground Equipment,Alawa,"38 Stedcombe St, Alawa",Stedcombe Park,Stedcombe Park,57,Playgrounds
130.878937034158582,-12.380174035853978,89,PlayEquip 97,Playground Equipment,Alawa,"38 Stedcombe St, Alawa",Stedcombe Park,Stedcombe Park,57,Playgrounds
130.879041028147583,-12.380169973401312,90,PlayEquip 98,Playground Equipment,Alawa,"38 Stedcombe St, Alawa",Stedcombe Park,Stedcombe Park,57,Playgrounds
130.882362119025203,-12.381969899951152,91,PlayEquip 100,Playground Equipment,Wagaman,"20 Colster Cres, Wagaman",Colster Park,Colster Park,57,Playgrounds
130.887753992122668,-12.379071981128771,92,PlayEquip 101,Playground Equipment,Wagaman,"10 Groote St, Wagaman",Groote Park,Groote Park,57,Playgrounds
130.850764632702635,-12.382541388659988,93,PlayEquip 102,Playground Equipment,Nightcliff,"20 Oleander St, Nightcliff",Nightcliff Oval Surr,Nightcliff Oval,57,Playgrounds
130.874752034563244,-12.368757011865197,94,PlayEquip 103,Playground Equipment,Nakara,"15 Griffe St, Nakara",Copeland Park,Copeland Park,57,Playgrounds
130.87925100629721,-12.368143990873428,95,PlayEquip 104,Playground Equipment,Nakara,"28 Rattray St, Nakara",Harwood Park,Harwood Park,57,Playgrounds
130.879309018950153,-12.368252031847332,96,PlayEquip 105,Playground Equipment,Nakara,"28 Rattray St, Nakara",Harwood Park,Harwood Park,57,Playgrounds
130.878661026146347,-12.365365977265279,97,PlayEquip 106,Playground Equipment,Tiwi,"24 Wangalara St, Tiwi",Kapalga Park,Kapalga Park,57,Playgrounds
130.874301017425864,-12.364547034008371,98,PlayEquip 107,Playground Equipment,Tiwi,"12 Undoolya St, Tiwi",Calvert Park,Calvert Park,57,Playgrounds
130.877373975795734,-12.363419012316378,99,PlayEquip 108,Playground Equipment,Tiwi,"41  Tiwi Gardens, Tiwi",Tiwi Park,Tiwi Park,57,Playgrounds
130.882195965760673,-12.36326198483294,100,PlayEquip 110,Playground Equipment,Tiwi,"19 Koolpinyah Cres, Tiwi",Koolpinyah Park,Koolpinyah Park,57,Playgrounds
130.88361200397037,-12.361091025602196,101,PlayEquip 111,Playground Equipment,Tiwi,"33 Dorisvale Cres, Tiwi",Dorisvale Park,Dorisvale Park,57,Playgrounds
130.853856001954597,-12.390037986919323,102,PlayEquip 112,Playground Equipment,Coconut Grove,"23 Craig Cres, Coconut Grove",Easther Park,Easther Park,57,Playgrounds
130.853984995494983,-12.389912035434458,103,PlayEquip 113,Playground Equipment,Coconut Grove,"23 Craig Cres, Coconut Grove",Easther Park,Easther Park,57,Playgrounds
130.846065967820095,-12.382779035711424,104,PlayEquip 114,Playground Equipment,Nightcliff,"22 Jacksonia Crct, Nightcliff",Grevillea Park,Grevillea Park,57,Playgrounds
130.850812460360942,-12.382474731467525,105,PlayEquip 115,Playground Equipment,Nightcliff,"20 Oleander St, Nightcliff",Nightcliff Oval Surr,Nightcliff Oval,57,Playgrounds
130.84150497661247,-12.381082016190627,106,PlayEquip 116,Playground Equipment,Nightcliff,"3 Aralia St, Nightcliff",Sunset Park,Sunset Park,57,Playgrounds
130.850735126901014,-12.382636478309907,107,PlayEquip 117,Playground Equipment,Nightcliff,"20 Oleander St, Nightcliff",Nightcliff Oval Surr,Nightcliff Oval,57,Playgrounds
130.841609986960407,-12.380908968597153,108,PlayEquip 118,Exercise Equipment,Nightcliff,"3 Aralia St, Nightcliff",Sunset Park,Sunset Park,57,Playgrounds
130.884260030697789,-12.377892973724592,109,PlayEquip 119,Playground Equipment,Wagaman,"32 Amsterdam Cct, Wagaman",Amsterdam Park,Amsterdam Park,57,Playgrounds
130.842939530310957,-12.450941502585016,110,PlayEquip 120,Playground Equipment,Stuart Park,"12 Duke St, Stuart Park",Duke Street Park,Duke Street Park,57,Playgrounds
130.855078558826733,-12.375357404289062,111,PlayEquip 121,Playground Equipment,Rapid Creek,"315 Casuarina Dr, Nightcliff",Nightcliff Foreshore,Nightcliff Foreshore 2,57,Playgrounds
130.878404022634044,-12.387347017985762,112,PlayEquip 122,Playground Equipment,Moil,"28 Thornton Cres, Moil",Thornton Park,Thornton Park,57,Playgrounds
130.881759005372288,-12.385845006783097,113,PlayEquip 124,Playground Equipment,Moil,"11 Greenwood Cres, Moil",Greenwood Park,Greenwood Park,57,Playgrounds
130.881954005893476,-12.389999064337005,114,PlayEquip 126,Playground Equipment,Moil,"11 Budgen St, Moil",Moil Park,Moil Park,57,Playgrounds
130.882881006599746,-12.393338975469858,115,PlayEquip 127,Playground Equipment,Moil,"48 Byrne Cct, Moil",Byrne Park,Byrne Park,57,Playgrounds
130.896435024474471,-12.382155979248422,116,PlayEquip 128,Playground Equipment,Wulagi,"148 Vanderlin Drive, Wulagi",Wulagi Park,Wulagi Park,57,Playgrounds
130.89474536905243,-12.386866800388244,117,PlayEquip 129,Playground Equipment,Wulagi,"6 Grebe Cres, Wulagi",Grebe Park,Grebe Park,57,Playgrounds
130.902714363498006,-12.385826631556863,118,PlayEquip 130,Playground Equipment,Wulagi,"95 Wulagi Cres, Wulagi",Rosella Park,Rosella Park,57,Playgrounds
130.893957008706479,-12.400677959598109,119,PlayEquip 131,Playground Equipment,Marrara,"48 Carnoustie Crct, Marrara",Tomaris Park,Tomaris Park,57,Playgrounds
130.893028005696408,-12.360300037714717,120,PlayEquip 132,Playground Equipment,Muirhead,"3 Moore St, Muirhead",Juliet Shields Park,Juliet Shields Park,57,Playgrounds
130.895224011144222,-12.361956017520933,121,PlayEquip 133,Playground Equipment,Muirhead,"6 Raby St, Muirhead",William Foster Park,William Forster Park,57,Playgrounds
130.895557970719892,-12.362103973080812,122,PlayEquip 134,Playground Equipment,Muirhead,"6 Raby St, Muirhead",William Foster Park,William Forster Park,57,Playgrounds
130.830488028892063,-12.412813035778553,123,PlayEquip 135,Playground Equipment,East Point,"152 Alec Fong Lim Dr, East Point",Lake Alexander,Lake Alexander Surrounds,57,Playgrounds
130.856218590244083,-12.375715890303949,124,PlayEquip 136,Exercise Equipment,Rapid Creek,"315 Casuarina Dr, Nightcliff",Nightcliff Foreshore,Nightcliff Foreshore 2,57,Playgrounds
130.883792460407534,-12.3890192856891,125,PlayEquip 137,Playground Equipment,Moil,"15 Wilson Cres, Moil",Wilson Park,Wilson Park,57,Playgrounds
130.881577971489577,-12.392393991125726,126,PlayEquip 138,Playground Equipment,Moil,"21 Butters St, Moil",Butters Park,Butters Park,57,Playgrounds
130.879263984782483,-12.394164972984326,127,PlayEquip 139,Playground Equipment,Moil,"2 Linde St, Moil",Linde Park,Linde Park,57,Playgrounds
130.896913002512434,-12.385894045127831,128,PlayEquip 140,Playground Equipment,Wulagi,"67 Matthews Rd, Wulagi",Wulagi Greenbelt South,Wulagi Greenbelt South,57,Playgrounds
130.901104031387234,-12.391424963597316,129,PlayEquip 141,Playground Equipment,Malak,"13 Malak Cres, Malak",Malak Greenbelt,Malak Greenbelt,57,Playgrounds
130.895472980932539,-12.36185099277721,130,PlayEquip 142,Playground Equipment,Muirhead,"6 Raby St, Muirhead",William Foster Park,William Forster Park,57,Playgrounds
130.858127964612777,-12.376162014211609,131,PlayEquip 143,Playground Equipment,Rapid Creek,"315 Casuarina Dr, Nightcliff",Nightcliff Foreshore,Nightcliff Foreshore 2,57,Playgrounds
130.857880962375106,-12.376163973611083,132,PlayEquip 144,Playground Equipment,Rapid Creek,"315 Casuarina Dr, Nightcliff",Nightcliff Foreshore,Nightcliff Foreshore 2,57,Playgrounds
130.858807030014503,-12.378503001774448,133,PlayEquip 145,Playground Equipment,Rapid Creek,"29 Clarke Cres, Rapid Creek",Clarke Crescent Park,Clarke Crescent Park,57,Playgrounds
130.857501015110586,-12.385035978605966,134,PlayEquip 146,Playground Equipment,Rapid Creek,"12 Valder Cres, Rapid Creek",Rapid Creek Park,Rapid Creek Park,57,Playgrounds
130.864091996595192,-12.390166004880303,135,PlayEquip 147,Playground Equipment,Millner,"6 Millner St, Millner",Stokes Park,Stokes Park,57,Playgrounds
130.860295969674581,-12.393962968612755,136,PlayEquip 148,Playground Equipment,Millner,"8 Tong Luck St, Millner",Wong Yung Park,Wong Yung Park,57,Playgrounds
130.856612467306661,-12.396297487200245,137,PlayEquip 149,Playground Equipment,Millner,"55 McMillans Rd, Millner",Bagot Oval,Bagot Oval,57,Playgrounds
130.859968033761447,-12.394027028173657,138,PlayEquip 150,Playground Equipment,Millner,"8 Tong Luck St, Millner",Wong Yung Park,Wong Yung Park,57,Playgrounds
130.860361484267457,-12.426496798577142,139,PlayEquip 151,Playground Equipment,The Narrows,"3 Shiers St, The Narrows",Dwyer Park,Dwyer Park,57,Playgrounds
130.860424974501626,-12.426734033705278,140,PlayEquip 152,Playground Equipment,The Narrows,"3 Shiers St, The Narrows",Dwyer Park,Dwyer Park,57,Playgrounds
130.841683987287354,-12.381071042864363,141,PlayEquip 153,Playground Equipment,Nightcliff,"3 Aralia St, Nightcliff",Sunset Park,Sunset Park,57,Playgrounds
130.887148962798506,-12.36718499450204,142,PlayEquip 154,Playground Equipment,Wanguri,"5 Mazlin St, Wanguri",Mazlin Park,Mazlin Park,57,Playgrounds
130.888332004429913,-12.36961699654457,143,PlayEquip 155,Playground Equipment,Wanguri,"56 Lyons St, Wanguri",Wanguri Park,Wanguri Park,57,Playgrounds
130.88853598388792,-12.369601030696201,144,PlayEquip 156,Playground Equipment,Wanguri,"56 Lyons St, Wanguri",Wanguri Park,Wanguri Park,57,Playgrounds
130.888611025967066,-12.36950399667038,145,PlayEquip 157,Playground Equipment,Wanguri,"56 Lyons St, Wanguri",Wanguri Park,Wanguri Park,57,Playgrounds
130.890622008980529,-12.368437960070951,146,PlayEquip 158,Playground Equipment,Wanguri,"25 Kailis St, Wanguri",Kailis Park,Kailis Park,57,Playgrounds
130.885282009414766,-12.371219961795433,147,PlayEquip 159,Playground Equipment,Wanguri,"8 Strele Cres, Wanguri",Strele Park,Strele Park,57,Playgrounds
130.888941987788712,-12.371564982833009,148,PlayEquip 160,Playground Equipment,Wanguri,"39 Haritos St, Wanguri",Haritos Park,Haritos Park,57,Playgrounds
130.889006032653185,-12.371499021287846,149,PlayEquip 161,Playground Equipment,Wanguri,"39 Haritos St, Wanguri",Haritos Park,Haritos Park,57,Playgrounds
