"Type","Longitude","Latitude"
"Zone A ($2.50/hr up to 2 hrs)","130.842837226718","-12.4654336063568"
"Zone A ($2.50/hr up to 2 hrs)","130.843188595138","-12.4650803287333"
"Zone A ($2.50/hr up to 2 hrs)","130.844022182601","-12.4640766329819"
"Zone A ($2.50/hr up to 2 hrs)","130.844221483629","-12.464050429724"
"Zone A ($2.50/hr up to 2 hrs)","130.842054005498","-12.4606285792155"
"Zone A ($2.50/hr up to 2 hrs)","130.843348440181","-12.4617041277665"
"Zone A ($2.50/hr up to 2 hrs)","130.84357093367","-12.4619259645266"
"Zone A ($2.50/hr up to 2 hrs)","130.843842366479","-12.4621891973237"
"Zone A ($2.50/hr up to 2 hrs)","130.844281800538","-12.4626257885095"
"Zone A ($2.50/hr up to 2 hrs)","130.844583667088","-12.4629239228584"
"Zone A ($2.50/hr up to 2 hrs)","130.844372060088","-12.4632272677786"
"Zone B ($1.80/hr up to 3 hrs)","130.844655637658","-12.4671899344053"
"Zone A ($2.50/hr up to 2 hrs)","130.842004261244","-12.4651527892944"
"Zone A ($2.50/hr up to 2 hrs)","130.838412865881","-12.4627477663013"
"Zone A ($2.50/hr up to 2 hrs)","130.840069056269","-12.461386862342"
"Zone A ($2.50/hr up to 2 hrs)","130.842700446919","-12.4611812394457"
"Zone A ($2.50/hr up to 2 hrs)","130.838216135743","-12.46051556314"
"Zone A ($2.50/hr up to 2 hrs)","130.837920841868","-12.4608265181483"
"Zone A ($2.50/hr up to 2 hrs)","130.837838374405","-12.4611195941143"
"Zone A ($2.50/hr up to 2 hrs)","130.838475326898","-12.4613806188601"
"Zone A ($2.50/hr up to 2 hrs)","130.838347562361","-12.4617814623193"
"Zone A ($2.50/hr up to 2 hrs)","130.838620037679","-12.4618251642514"
"Zone A ($2.50/hr up to 2 hrs)","130.840698183762","-12.4615983766944"
"Zone A ($2.50/hr up to 2 hrs)","130.84377233415","-12.4649937785483"
"Zone B ($1.80/hr up to 3 hrs)","130.839370879779","-12.459901008889"
"Zone B ($1.80/hr up to 3 hrs)","130.839136895805","-12.4600040086729"
"Zone B ($1.80/hr up to 3 hrs)","130.839302999434","-12.4598364312747"
"Zone B ($1.80/hr up to 3 hrs)","130.839659854709","-12.459604659943"
"Zone B ($1.80/hr up to 3 hrs)","130.839595038253","-12.4595404872638"
"Zone B ($1.80/hr up to 3 hrs)","130.838716626282","-12.4600785178036"
"Zone B ($1.80/hr up to 3 hrs)","130.838502892753","-12.459873146851"
"Zone B ($1.80/hr up to 3 hrs)","130.838020374785","-12.4593983391832"
"Zone B ($1.80/hr up to 3 hrs)","130.83823083242","-12.4587842069264"
"Zone B ($1.80/hr up to 3 hrs)","130.838476469423","-12.4585273256975"
"Zone B ($1.80/hr up to 3 hrs)","130.837924353877","-12.458918107324"
"Off Street Carpark","130.837931612872","-12.4586468132546"
"Zone C ($1.30/hr or $7.50/day)","130.837586082531","-12.4589768496949"
"Zone C ($1.30/hr or $7.50/day)","130.837301173371","-12.4587020028383"
"Zone C ($1.30/hr or $7.50/day)","130.836947691104","-12.4583563252768"
"Zone C ($1.30/hr or $7.50/day)","130.83668749039","-12.4581048991565"
"Zone B ($1.80/hr up to 3 hrs)","130.8383977555","-12.4599378193764"
"Zone B ($1.80/hr up to 3 hrs)","130.83809826811","-12.459656226829"
"Zone C ($1.30/hr or $7.50/day)","130.837642740957","-12.4592210995746"
"Zone C ($1.30/hr or $7.50/day)","130.837031965494","-12.4586231311514"
"Zone B ($1.80/hr up to 3 hrs)","130.840580656303","-12.4598930822827"
"Zone B ($1.80/hr up to 3 hrs)","130.840209235074","-12.4595329858595"
"Zone B ($1.80/hr up to 3 hrs)","130.840269681595","-12.4588756529288"
"Zone B ($1.80/hr up to 3 hrs)","130.84025154302","-12.4590304696885"
"Zone B ($1.80/hr up to 3 hrs)","130.840547138201","-12.4587291460693"
"Zone B ($1.80/hr up to 3 hrs)","130.839700683201","-12.4590273177058"
"Zone B ($1.80/hr up to 3 hrs)","130.839887796762","-12.4583503629172"
"Zone B ($1.80/hr up to 3 hrs)","130.839910929583","-12.4584373161877"
"Zone B ($1.80/hr up to 3 hrs)","130.840135384673","-12.4581043670795"
"Zone B ($1.80/hr up to 3 hrs)","130.839583332635","-12.458656640784"
"Zone B ($1.80/hr up to 3 hrs)","130.839217346088","-12.4585664068828"
"Zone C ($1.30/hr or $7.50/day)","130.839169267149","-12.4580430739449"
