"Name","Longitude","Latitude"
"William Foster Park","130.89555797072","-12.3621039730808"
"Lake Alexander","130.830488028892","-12.4128130357786"
"Nightcliff Foreshore","130.856218590244","-12.3757158903039"
"Wilson Park","130.883792460408","-12.3890192856891"
"Butters Park","130.88157797149","-12.3923939911257"
"Linde Park","130.879263984782","-12.3941649729843"
"Wulagi Greenbelt South","130.896913002512","-12.3858940451278"
"Malak Greenbelt","130.901104031387","-12.3914249635973"
"William Foster Park","130.895472980933","-12.3618509927772"
"Nightcliff Foreshore","130.858127964613","-12.3761620142116"
"Nightcliff Foreshore","130.857880962375","-12.3761639736111"
"Clarke Crescent Park","130.858807030015","-12.3785030017744"
"Rapid Creek Park","130.857501015111","-12.385035978606"
"Stokes Park","130.864091996595","-12.3901660048803"
"Wong Yung Park","130.860295969675","-12.3939629686128"
"Bagot Oval","130.856612467307","-12.3962974872002"
"Wong Yung Park","130.859968033761","-12.3940270281737"
"Dwyer Park","130.860361484267","-12.4264967985771"
"Dwyer Park","130.860424974502","-12.4267340337053"
"Sunset Park","130.841683987287","-12.3810710428644"
"Mazlin Park","130.887148962799","-12.367184994502"
"Wanguri Park","130.88833200443","-12.3696169965446"
"Wanguri Park","130.888535983888","-12.3696010306962"
"Wanguri Park","130.888611025967","-12.3695039966704"
"Kailis Park","130.890622008981","-12.368437960071"
"Strele Park","130.885282009415","-12.3712199617954"
"Haritos Park","130.888941987789","-12.371564982833"
"Haritos Park","130.889006032653","-12.3714990212878"
"Haritos Park","130.889102989317","-12.3716239596808"
"Fong Park","130.887020024928","-12.3755190129023"
"Casuarina Pool","130.88456900821","-12.3744609938977"
"Killupa Park","130.902928404089","-12.3806491593829"
"Armstrong Park","130.895425981684","-12.3665320132727"
"Dangoerra Park","130.891032978258","-12.3639550170021"
"Matla Park","130.889935971789","-12.3608869595107"
"Garanmanuk Park","130.888214971762","-12.359273994585"
"Garanmanuk Park","130.888041016639","-12.3587610062514"
"Garanmanuk Park","130.888108028658","-12.3585489897253"
"Bilingga Park","130.88725214179","-12.3521788993965"
"Airlie Park","130.872492969324","-12.3660970205273"
"Airlie Park","130.872593013849","-12.3659650262512"
"Driffield Greenbelt","130.888096890176","-12.3921072718803"
"Driffield Greenbelt","130.888030359463","-12.392133941172"
"Yanyula Park","130.890955026295","-12.3905350417696"
"Yanyula Park","130.891472905639","-12.3912742591043"
"McMillans Road Green","130.893998981738","-12.3931459686387"
"McMillans Road Green","130.893892036594","-12.3934979742397"
"Borella Park","130.875132020876","-12.3908330068309"
"William Foster Park","130.89561296667","-12.3618559822894"
"William Foster Park","130.895468963902","-12.3620510048621"
"Borella Park","130.875045031168","-12.3906919990423"
"Borella Park","130.875186004743","-12.3906419553294"
"Borella Park","130.875271027957","-12.390529040577"
"Gaden Park","130.871461995195","-12.3886720323023"
"Gaden Park","130.871210945294","-12.3885968579797"
"Water Gardens","130.86721496364","-12.3859689567933"
"Malak Greenbelt","130.901473023261","-12.3916197416945"
"Robyn Lesley Park","130.916087931338","-12.3994581511466"
"East Point Reserve","130.83011486933","-12.4135617454333"
"Parkside Park","130.903566977007","-12.3766611014328"
"Brazil Park","130.921260066873","-12.4034456367535"
"Holzerland Park","130.904663473721","-12.3952201117939"
